asset,event,slug,ts,ask,n_ask,gap,label,delta,ret_T,covd,limit,fill_t,ev_taker,fill_1800,ev_am_1800,ev_fb_1800,fill_7200,ev_am_7200,ev_fb_7200,fill_14400,ev_am_14400,ev_fb_14400
BTC,2025-11-27,bitcoin-above-88k-on-november-27,1763676900,0.44,0.44,0.06521327207972455,1,5.346621091392021,0.039681992297982006,True,0.43,,0.3305874230311537,False,,0.3305874230311537,False,,0.3305874230311537,False,,0.34067842303115375
BTC,2025-11-27,bitcoin-above-88k-on-november-27,1763770500,0.29,0.29,0.05286257614638745,1,5.138275936213913,0.06711479879949203,True,0.28,,0.35073264436473167,False,,0.35073264436473167,False,,0.35073264436473167,False,,0.37134864436473175
BTC,2025-11-27,bitcoin-above-88k-on-november-27,1763961300,0.43,0.48,0.055397398493734706,1,7.143241679404574,0.043308712057453576,True,0.42,1763972746.355,0.19316340294986617,False,,0.19316340294986617,False,,0.24347840294986628,True,0.27063540294986627,
BTC,2025-11-29,bitcoin-above-88k-on-november-29,1764173700,0.41,0.41,0.05372788819672625,1,10.813920111287675,0.03858874753073475,True,0.4,,0.155771367007985,False,,0.035267367007984884,False,,-0.19006363299201512,False,,-0.19006363299201512
BTC,2025-11-30,bitcoin-above-88k-on-november-30,1764110700,0.41,0.41,0.05155403116142082,1,7.432092218379283,0.049241829082305594,False,0.4,,0.20709718525863408,False,,0.20709718525863408,False,,0.20709718525863408,False,,0.20709718525863408
BTC,2025-11-30,bitcoin-above-88k-on-november-30,1764197100,0.42,0.42,0.3477304867252738,1,8.149005602165918,0.016552619713368674,False,0.41,,0.4280606092252368,False,,0.4280606092252368,False,,0.04433960922523661,False,,-0.012804390774763336
BTC,2025-12-01,bitcoin-above-90k-on-december-1,1764121500,0.29,0.29,0.06586864731596986,0,6.462212131173659,-0.040086918044490376,True,0.28,,-0.045362831911530066,False,,-0.045362831911530066,False,,-0.045362831911530066,False,,-0.0761818319115301
BTC,2025-12-01,bitcoin-above-90k-on-december-1,1764207900,0.25,0.66,0.33922159168450094,0,8.501064255338479,-0.06947974819718523,True,0.24,,-0.08505619613099047,False,,-0.11432119613099045,False,,-0.08505619613099047,False,,-0.07527319613099048
BTC,2025-12-02,bitcoin-above-90k-on-december-2,1764181800,0.5,0.5,0.05503188932844838,1,7.320040717446342,0.006220178625377132,True,0.49,,0.43696803919245,False,,0.43696803919245,False,,0.43696803919245,False,,0.43696803919245
BTC,2026-01-13,bitcoin-above-90k-on-january-13,1767997800,0.56,0.56,0.05327820417931717,1,12.431682936583364,0.03008838272292713,True,0.55,,0.048702765913997026,False,,0.048702765913997026,False,,0.048702765913997026,False,,0.048702765913997026
BTC,2026-01-14,bitcoin-above-90k-on-january-14,1768000500,0.56,0.56,0.050954084076791695,1,10.329813561488333,0.06997886879087421,False,0.55,,-0.3001166678535851,False,,-0.3001166678535851,False,,-0.3001166678535851,False,,-0.3001166678535851
BTC,2026-01-15,bitcoin-above-90k-on-january-15,1767972600,0.55,0.55,0.1277793243406543,1,7.6698348884933205,0.054543928982172266,True,0.54,,0.01433207053703317,False,,0.01433207053703317,False,,-0.08426792946296685,False,,-0.005499929462966735
BTC,2026-01-15,bitcoin-above-90k-on-january-15,1768186800,0.69,0.69,0.0625307400856755,1,8.260747711402432,0.04885587582466753,True,0.68,,-0.10855906440718366,False,,-0.10855906440718366,False,,-0.1763540644071837,False,,-0.1570540644071837
BTC,2026-01-25,bitcoin-above-90k-on-january-25,1769004900,0.42,0.53,0.06810530900685718,0,9.311656730599962,-0.01721759777747783,True,0.41,1769016379.607,-0.3871126397705857,False,,-0.3771476397705857,False,,-0.3371476397705856,True,-0.2496756397705856,
BTC,2025-11-23,bitcoin-above-90k-on-november-23,1763586900,0.45,0.45,0.053172877256198514,0,7.348081080127803,-0.033917863944155205,True,0.44,,-0.21809378567360416,False,,-0.21809378567360416,False,,-0.21809378567360416,False,,-0.21809378567360416
BTC,2025-11-24,bitcoin-above-90k-on-november-24,1763587800,0.48,0.48,0.052102250611570367,0,6.629323237069758,-0.03212347438597062,True,0.47,,-0.2845151047976697,False,,-0.2845151047976697,False,,-0.2845151047976697,False,,-0.5308401047976697
BTC,2025-11-25,bitcoin-above-90k-on-november-25,1763588700,0.48,0.48,0.07398850256867917,0,6.040141153146536,-0.03736246189010496,True,0.47,,-0.27179745635470787,False,,-0.27179745635470787,False,,-0.27179745635470787,False,,-0.27179745635470787
BTC,2025-11-25,bitcoin-above-90k-on-november-25,1763675100,0.28,0.28,0.054459671542003985,0,5.85699300634651,-0.004631127814460276,True,0.27,,-0.2669875167792094,False,,-0.2669875167792094,False,,-0.27728851677920935,False,,-0.29784851677920937
