asset,event,slug,ts,entry,ev_raw,ev_hedged,label
BTC,2026-06-02,bitcoin-above-76k-on-june-2-2026,1780083900,0.12,-0.12,0.5753145497121817,0
BTC,2026-06-02,bitcoin-above-74k-on-june-2-2026,1780091100,0.43,-0.43,0.7710339413099936,0
ETH,2026-06-03,ethereum-above-2000-on-june-3-2026,1780114500,0.5700000000000001,-0.5700000000000001,0.2789702566521187,0
BTC,2026-06-04,bitcoin-above-74k-on-june-4-2026-965,1780171200,0.5,-0.5,1.1913009274324697,0
BTC,2026-06-02,bitcoin-above-74k-on-june-2-2026,1780177500,0.5,-0.5,1.0159124482129387,0
BTC,2026-06-04,bitcoin-above-72k-on-june-4-2026-876,1780178400,0.78,-0.78,0.4399720266839644,0
BTC,2026-06-04,bitcoin-above-76k-on-june-4-2026-893,1780188300,0.21000000000000002,-0.21000000000000002,1.0099653119121312,0
ETH,2026-06-03,ethereum-above-1900-on-june-3-2026,1780231500,0.92,-0.92,-0.5983045620326364,0
ETH,2026-06-02,ethereum-above-2000-on-june-2-2026,1780237800,0.5700000000000001,-0.5700000000000001,0.0698345003361347,0
ETH,2026-06-03,ethereum-above-2000-on-june-3-2026,1780238700,0.55,-0.55,0.38831536040941883,0
BTC,2026-06-03,bitcoin-above-72k-on-june-3-2026,1780243200,0.78,-0.78,0.2765818135385898,0
ETH,2026-06-01,ethereum-above-2000-on-june-1-2026,1780245000,0.55,-0.55,-0.23313748414147556,0
BTC,2026-06-04,bitcoin-above-74k-on-june-4-2026-965,1780257600,0.45,-0.45,1.1921169652132158,0
BTC,2026-06-02,bitcoin-above-74k-on-june-2-2026,1780265700,0.48,-0.48,1.1402048301749554,0
BTC,2026-06-04,bitcoin-above-72k-on-june-4-2026-876,1780276500,0.75,-0.75,0.6337132451927394,0
SOL,2026-06-01,solana-above-80-on-june-1-2026,1780290900,0.92,-0.92,-0.706825170274217,0
SOL,2026-06-02,solana-above-80-on-june-2-2026,1780307100,0.6900000000000001,-0.6900000000000001,0.11203400946044006,0
SOL,2026-06-04,solana-above-80-on-june-4-2026,1780316100,0.55,-0.55,0.7979931230131512,0
ETH,2026-06-04,ethereum-above-2000-on-june-4-2026,1780317000,0.43,-0.43,0.6532226622005397,0
ETH,2026-06-03,ethereum-above-2000-on-june-3-2026,1780326000,0.31,-0.31,0.40669153960525456,0
ETH,2026-06-04,ethereum-above-1900-on-june-4-2026,1780359300,0.9,-0.9,-0.3628074670220598,0
BTC,2026-06-05,bitcoin-above-68k-on-june-5-2026-638-564-578,1780398000,0.744,-0.744,0.4498146346306289,0
BTC,2026-06-05,bitcoin-above-70k-on-june-5-2026-628-939,1780398000,0.46,-0.46,1.058483347312736,0
SOL,2026-06-04,solana-above-80-on-june-4-2026,1780402500,0.33,-0.33,0.8756647299387743,0
ETH,2026-06-04,ethereum-above-2000-on-june-4-2026,1780407000,0.38,-0.38,0.7983497527933202,0
ETH,2026-06-05,ethereum-above-2000-on-june-5-2026,1780407000,0.41000000000000003,-0.41000000000000003,1.6355623211222845,0
ETH,2026-06-04,ethereum-above-1800-on-june-4-2026,1780410600,0.928,-0.928,-0.680070431400121,0
ETH,2026-06-05,ethereum-above-1800-on-june-5-2026,1780410600,0.904,-0.904,-0.24110073944456234,0
SOL,2026-06-04,solana-above-70-on-june-4-2026,1780420500,0.925,-0.925,-0.7484350049093365,0
SOL,2026-06-03,solana-above-80-on-june-3-2026,1780421400,0.09,-0.09,0.21507745357910543,0
SOL,2026-06-03,solana-above-70-on-june-3-2026,1780426800,0.948,0.052000000000000046,0.08304452807284654,1
BTC,2026-06-04,bitcoin-above-64k-on-june-4-2026-539,1780428600,0.881,-0.881,-0.6256893221670495,0
BTC,2026-06-06,bitcoin-above-68k-on-june-6-2026-331-336-128,1780430400,0.417,-0.417,0.4157835825408461,0
BTC,2026-06-09,bitcoin-above-64k-on-june-9-2026-453-432,1780430400,0.78,-0.78,-0.34533864781135665,0
ETH,2026-06-03,ethereum-above-1900-on-june-3-2026,1780430400,0.58,-0.58,-0.03275902190508739,0
BTC,2026-06-09,bitcoin-above-70k-on-june-9-2026,1780434000,0.22,-0.22,0.33831687881318195,0
BTC,2026-06-06,bitcoin-above-66k-on-june-6-2026-133-165-898-474,1780434900,0.703,-0.703,0.04100451340266398,0
