asset,event,slug,ts,filled,delta,pnl,move_bp
BTC,2026-05-05,bitcoin-above-74k-on-may-5,1777464900,True,5.560451524588272,-0.11869946694033767,-50.05644091494378
BTC,2026-04-30,bitcoin-above-76k-on-april-30,1777465800,True,14.81469947232855,0.39428881689996403,-28.7765724197364
BTC,2026-05-05,bitcoin-above-72k-on-may-5,1777465800,True,3.37288002574815,-0.08836319539623452,-116.13891565982675
ETH,2026-04-29,ethereum-above-2300-on-april-29,1777466700,True,33.66063861788558,-0.08225442484960156,-30.20928051023745
BTC,2026-05-01,bitcoin-above-76k-on-may-1,1777471200,True,12.670906599986434,0.07625735862484312,-25.373568730290028
SOL,2026-05-05,solana-above-90-on-may-5,1777477500,True,2.6518702134046475,-0.14569408228080144,-167.37807369096976
SOL,2026-05-05,solana-above-80-on-may-5,1777481100,True,4.871492902293677,0.13387857393260566,-36.127206923614345
SOL,2026-05-04,solana-above-80-on-may-4,1777481100,True,5.1883626906332285,0.1652930902419148,-36.127206923614345
SOL,2026-05-06,solana-above-80-on-may-6,1777481100,True,4.599572228109419,0.010232742827875067,-142.8595724747643
SOL,2026-05-03,solana-above-80-on-may-3,1777482900,True,5.598607065700592,0.15668481044375404,-135.6445649467675
SOL,2026-05-06,solana-above-90-on-may-6,1777483800,False,2.532385204602113,-0.005431482697935577,14.466548635093703
XRP,2026-05-02,xrp-above-1pt3-on-may-2,1777484700,True,4.94054917449858,0.06833032799034237,-91.96312742971658
SOL,2026-05-02,solana-above-80-on-may-2,1777484700,True,6.122137012025539,0.14726781443955947,-128.42434802660242
XRP,2026-05-02,xrp-above-1pt4-on-may-2,1777484700,True,7.923222263330113,-0.4030489608180342,-91.96312742971658
BTC,2026-05-06,bitcoin-above-74k-on-may-6,1777485600,True,6.53265253314629,-0.14108449040691984,-130.99840229483672
BTC,2026-04-30,bitcoin-above-74k-on-april-30,1777486500,False,13.786228936005006,-0.15069119724855337,102.30559614819578
XRP,2026-05-03,xrp-above-1pt4-on-may-3,1777486500,False,6.400591709413767,-0.09005357986032257,133.61919672727282
XRP,2026-04-30,xrp-above-1pt3-on-april-30,1777486500,False,4.176483705888026,-0.03276624905123509,71.43676584987188
ETH,2026-05-05,ethereum-above-2300-on-may-5,1777487400,False,5.678670123248633,-0.05517641763096211,90.12504954019505
ETH,2026-05-02,ethereum-above-2200-on-may-2,1777487400,False,8.56157473193891,-0.0831879670301938,90.12504954019505
ETH,2026-05-05,ethereum-above-2200-on-may-5,1777487400,False,6.155994003770374,-0.0598143031226857,90.12504954019505
ETH,2026-04-30,ethereum-above-2200-on-april-30,1777487400,False,12.824136837784284,-0.1246048660268711,90.12504954019505
ETH,2026-05-02,ethereum-above-2100-on-may-2,1777487400,False,3.901614860438757,-0.03790977927972718,90.12504954019505
ETH,2026-05-01,ethereum-above-2100-on-may-1,1777487400,False,3.4258736350271697,-0.033287271550301506,90.12504954019505
ETH,2026-05-06,ethereum-above-2100-on-may-6,1777489200,False,3.7973387498313356,-0.03369969958143907,81.69591309731322
ETH,2026-05-06,ethereum-above-2200-on-may-6,1777490100,False,5.513579955018378,-0.05620983102501907,94.88606247848116
BTC,2026-05-06,bitcoin-above-76k-on-may-6,1777490100,False,7.901574912088884,-0.049243354160573134,55.320935646935496
BTC,2026-05-04,bitcoin-above-74k-on-may-4,1777496400,False,8.114622873910179,-0.06677833425680561,75.29382350165493
BTC,2026-05-01,bitcoin-above-78k-on-may-1,1777497300,True,8.275103434040648,0.5709101499796849,-3.0956835651067816
BTC,2026-05-06,bitcoin-above-78k-on-may-6,1777499100,False,7.017333943072764,-0.04209906818740155,52.99296674338848
BTC,2026-05-05,bitcoin-above-78k-on-may-5,1777502700,True,7.504124986953892,0.20496765899063898,-25.26131433965987
ETH,2026-05-04,ethereum-above-2400-on-may-4,1777503600,False,3.8189225997197003,0.01875376367306167,-56.18603649045267
BTC,2026-05-05,bitcoin-above-76k-on-may-5,1777507200,True,9.07045450956993,-0.1485701630761709,-7.935319709372468
BTC,2026-05-04,bitcoin-above-76k-on-may-4,1777507200,True,10.218776905812186,-0.049765990825566576,-7.935319709372468
BTC,2026-05-03,bitcoin-above-76k-on-may-3,1777509000,True,12.133115630502958,0.0632895453848479,-26.92693599146567
ETH,2026-05-05,ethereum-above-2400-on-may-5,1777516200,False,3.9918281929695176,0.026167352835904146,-72.55567723621064
BTC,2026-05-02,bitcoin-above-76k-on-may-2,1777516200,True,13.733341900146074,0.0951029978749858,-67.02817925454008
BTC,2026-05-02,bitcoin-above-78k-on-may-2,1777516200,True,9.653600661546758,0.5413264498454201,-67.02817925454008
BTC,2026-05-03,bitcoin-above-78k-on-may-3,1777516200,True,9.329218834375142,0.50624416598081,-67.02817925454008
ETH,2026-05-01,ethereum-above-2200-on-may-1,1777516200,True,8.439992796152946,0.05090735483457109,-94.5235719625103
ETH,2026-05-03,ethereum-above-2300-on-may-3,1777516200,True,8.299112116012285,0.47418834150114747,-94.5235719625103
ETH,2026-04-30,ethereum-above-2300-on-april-30,1777516200,True,14.358015261738377,-0.14620872984362876,-94.5235719625103
ETH,2026-05-06,ethereum-above-2300-on-may-6,1777516200,True,5.810137778109631,0.40597890137086584,-117.03162005009061
ETH,2026-05-02,ethereum-above-2300-on-may-2,1777516200,True,9.337244322126793,0.5483528405985287,-94.5235719625103
ETH,2026-05-04,ethereum-above-2300-on-may-4,1777516200,True,7.154098944618189,0.39863713492068215,-94.5235719625103
ETH,2026-05-04,ethereum-above-2200-on-may-4,1777516200,True,6.4824756662806955,0.06505134184036108,-94.5235719625103
